Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,LAU_CFM,BA4_CFM,CDR_CFM,RHD_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-02-07 19:55:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:56:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:57:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:58:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:59:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:00:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:01:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:02:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:03:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:04:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:05:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:06:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:07:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:08:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:09:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:10:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:11:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:12:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:13:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:14:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:15:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:16:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:17:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:18:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:19:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:20:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:21:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:22:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:23:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:24:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:25:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:26:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:27:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:28:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:29:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:30:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:31:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:32:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:33:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:34:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:35:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:36:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:37:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:38:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:39:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:40:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:41:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:42:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:43:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:44:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:45:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
