Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,LAU_CFM,LAU2_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-10-17 07:39:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:40:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:41:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:42:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:43:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:44:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:45:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:46:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:47:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:48:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:49:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:50:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:51:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:52:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:53:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:54:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:55:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 07:56:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 07:57:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 07:58:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 07:59:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:00:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:01:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:02:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:03:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:04:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:05:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:06:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:07:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
