Time,BA1_CFM,BA2_CFM,TO1_CFM,BA3_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-05-12 19:21:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.08571455,111.9646128,0.373028861
2017-05-12 19:22:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.94721841,111.8957629,0.372799477
2017-05-12 19:23:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.94721841,111.8957629,0.372799477
2017-05-12 19:24:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.94721841,111.8957629,0.372799477
2017-05-12 19:25:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.94721841,111.8957629,0.372799477
2017-05-12 19:26:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.94721841,111.8957629,0.372799477
2017-05-12 19:27:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.94721841,111.8957629,0.372799477
2017-05-12 19:28:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.94721841,111.8957629,0.372799477
2017-05-12 19:29:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.94721841,111.8957629,0.372799477
2017-05-12 19:30:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.94721841,111.8957629,0.372799477
2017-05-12 19:31:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.94721841,111.8957629,0.372799477
2017-05-12 19:32:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.80868589,111.8270321,0.372570488
2017-05-12 19:33:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.80868589,111.8270321,0.372570488
2017-05-12 19:34:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.80868589,111.8270321,0.372570488
2017-05-12 19:35:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.80868589,111.8270321,0.372570488
2017-05-12 19:36:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.80868589,111.8270321,0.372570488
2017-05-12 19:37:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.80868589,111.8270321,0.372570488
2017-05-12 19:38:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.80868589,111.8270321,0.372570488
2017-05-12 19:39:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.80868589,111.8270321,0.372570488
2017-05-12 19:40:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.80868589,111.8270321,0.372570488
2017-05-12 19:41:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.67011962,111.758422,0.372341902
2017-05-12 19:42:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.67011962,111.758422,0.372341902
2017-05-12 19:43:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.67011962,111.758422,0.372341902
2017-05-12 19:44:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.67011962,111.758422,0.372341902
2017-05-12 19:45:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.67011962,111.758422,0.372341902
2017-05-12 19:46:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.67011962,111.758422,0.372341902
2017-05-12 19:47:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.67011962,111.758422,0.372341902
2017-05-12 19:48:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.67011962,111.758422,0.372341902
2017-05-12 19:49:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.67011962,111.758422,0.372341902
2017-05-12 19:50:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.67011962,111.758422,0.372341902
2017-05-12 19:51:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.67011962,111.758422,0.372341902
2017-05-12 19:52:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,40.67011962,111.758422,0.372341902
2017-05-12 19:53:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.63977388,111.2526083,0.370656699
2017-05-12 19:54:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.63977388,111.2526083,0.370656699
2017-05-12 19:55:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.63977388,111.2526083,0.370656699
2017-05-12 19:56:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 19:57:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.63977388,111.2526083,0.370656699
2017-05-12 19:58:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.63977388,111.2526083,0.370656699
2017-05-12 19:59:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.63977388,111.2526083,0.370656699
2017-05-12 20:00:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.63977388,111.2526083,0.370656699
2017-05-12 20:01:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.63977388,111.2526083,0.370656699
2017-05-12 20:02:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.63977388,111.2526083,0.370656699
2017-05-12 20:03:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.63977388,111.2526083,0.370656699
2017-05-12 20:04:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.63977388,111.2526083,0.370656699
2017-05-12 20:05:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.63977388,111.2526083,0.370656699
2017-05-12 20:06:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.63977388,111.2526083,0.370656699
2017-05-12 20:07:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.63977388,111.2526083,0.370656699
2017-05-12 20:08:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.49055253,111.1799954,0.370414777
2017-05-12 20:09:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.49055253,111.1799954,0.370414777
2017-05-12 20:10:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.49055253,111.1799954,0.370414777
2017-05-12 20:11:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.49055253,111.1799954,0.370414777
2017-05-12 20:12:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.49055253,111.1799954,0.370414777
2017-05-12 20:13:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.49055253,111.1799954,0.370414777
2017-05-12 20:14:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.49055253,111.1799954,0.370414777
2017-05-12 20:15:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.49055253,111.1799954,0.370414777
2017-05-12 20:16:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.49055253,111.1799954,0.370414777
2017-05-12 20:17:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.49055253,111.1799954,0.370414777
2017-05-12 20:18:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.49055253,111.1799954,0.370414777
2017-05-12 20:19:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:20:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:21:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:22:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:23:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:24:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:25:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:26:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:27:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:28:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:29:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:30:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:31:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:32:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:33:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:34:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.34117817,111.1074725,0.370173155
2017-05-12 20:35:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:36:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:37:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:38:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:39:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:40:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:41:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:42:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:43:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:44:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:45:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:46:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:47:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:48:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:49:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:50:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:51:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.04197358,110.9627018,0.369690827
2017-05-12 20:52:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,39.19165157,111.0350408,0.369931837
2017-05-12 20:53:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,38.15109582,110.5356103,0.3682679
2017-05-12 20:54:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,38.15109582,110.5356103,0.3682679
