Time,BA1_CFM,BA2_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-06-29 19:17:00,0,0,112,0,0,112,0,0,112,19.8381296088682,114.985110510486,0.464304908178825
2017-06-29 19:18:00,0,0,112,0,0,112,0,0,112,19.8381296088682,114.985110510486,0.464304908178825
2017-06-29 19:19:00,0,0,112,0,0,112,0,0,112,19.6984864280059,114.94635404004,0.464148411225682
2017-06-29 19:20:00,0,0,112,0,0,112,0,0,112,19.6984864280059,114.94635404004,0.464148411225682
2017-06-29 19:21:00,0,0,112,0,0,112,0,0,112,19.6984864280059,114.94635404004,0.464148411225682
2017-06-29 19:22:00,0,0,112,0,0,112,0,0,112,19.6984864280059,114.94635404004,0.464148411225682
2017-06-29 19:23:00,0,0,112,0,0,112,0,0,112,19.6984864280059,114.94635404004,0.464148411225682
2017-06-29 19:24:00,0,0,112,0,0,112,0,0,112,19.5586160764709,114.90774921655,0.463992526616395
2017-06-29 19:25:00,0,0,112,0,0,112,0,0,112,19.5586160764709,114.90774921655,0.463992526616395
2017-06-29 19:26:00,0,0,112,0,0,112,0,0,112,19.5586160764709,114.90774921655,0.463992526616395
2017-06-29 19:27:00,0,0,112,0,0,112,0,0,112,19.5586160764709,114.90774921655,0.463992526616395
2017-06-29 19:28:00,0,0,112,0,0,112,0,0,112,19.5586160764709,114.90774921655,0.463992526616395
2017-06-29 19:29:00,0,0,112,0,0,112,0,0,112,19.6984864280059,114.94635404004,0.464148411225682
2017-06-29 19:30:00,0,0,112,0,0,112,0,0,112,19.6984864280059,114.94635404004,0.464148411225682
2017-06-29 19:31:00,0,0,112,0,0,112,0,0,112,19.6984864280059,114.94635404004,0.464148411225682
2017-06-29 19:32:00,0,0,112,0,0,112,0,0,112,19.8381296088682,114.985110510486,0.464304908178825
2017-06-29 19:33:00,0,0,112,0,0,112,0,0,112,19.9775396445574,115.024015232628,0.46446200376591
2017-06-29 19:34:00,0,0,112,0,0,112,0,0,112,19.9775396445574,115.024015232628,0.46446200376591
2017-06-29 19:35:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:36:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:37:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:38:00,0,0,112,0,0,112,0,0,112,20.2556389056911,115.102256439669,0.464777938379444
2017-06-29 19:39:00,0,0,112,0,0,112,0,0,112,20.2556389056911,115.102256439669,0.464777938379444
2017-06-29 19:40:00,0,0,112,0,0,112,0,0,112,20.2556389056911,115.102256439669,0.464777938379444
2017-06-29 19:41:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:42:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:43:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:44:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:45:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:46:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:47:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:48:00,0,0,112,0,0,112,0,0,112,19.9775396445574,115.024015232628,0.46446200376591
2017-06-29 19:49:00,0,0,112,0,0,112,0,0,112,19.9775396445574,115.024015232628,0.46446200376591
2017-06-29 19:50:00,0,0,112,0,0,112,0,0,112,19.9775396445574,115.024015232628,0.46446200376591
2017-06-29 19:51:00,0,0,112,0,0,112,0,0,112,19.9775396445574,115.024015232628,0.46446200376591
2017-06-29 19:52:00,0,0,112,0,0,112,0,0,112,19.8381296088682,114.985110510486,0.464304908178825
2017-06-29 19:53:00,0,0,112,0,0,112,0,0,112,19.8381296088682,114.985110510486,0.464304908178825
2017-06-29 19:54:00,0,0,112,0,0,112,0,0,112,19.8381296088682,114.985110510486,0.464304908178825
2017-06-29 19:55:00,0,0,112,0,0,112,0,0,112,13.2134239804746,113.394375840365,0.457881590310378
2017-06-29 19:56:00,0,0,112,0,0,112,0,0,112,13.2134239804746,113.394375840365,0.457881590310378
2017-06-29 19:57:00,0,0,112,0,0,112,0,0,112,13.2134239804746,113.394375840365,0.457881590310378
2017-06-29 19:58:00,0,0,112,0,0,112,0,0,112,13.3556981567684,113.422948265436,0.457996964528311
2017-06-29 19:59:00,0,0,112,0,0,112,0,0,112,13.3556981567684,113.422948265436,0.457996964528311
2017-06-29 20:00:00,0,0,112,0,0,112,0,0,112,13.4994120331705,113.452071545906,0.458114563076544
2017-06-29 20:01:00,0,0,112,0,0,112,0,0,112,13.4994120331705,113.452071545906,0.458114563076544
2017-06-29 20:02:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
2017-06-29 20:03:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
