Time,BA1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,TO1_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-08-21 19:56:00,0,0,0,0,0,109,0,0,109,0,0,109,47.2479791293423,123.287362590199,0.258825813695309
2017-08-21 19:57:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 19:58:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 19:59:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:00:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:01:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:02:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:03:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:04:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:05:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:06:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:07:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:08:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:09:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:10:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:11:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:12:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:13:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:14:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:15:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:16:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:17:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:18:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:19:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:20:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:21:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:22:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:23:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:24:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:25:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:26:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:27:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:28:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:29:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:30:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:31:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
