Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,BA5_CFM,BA6_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-09-20 20:45:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 20:46:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 20:47:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 20:48:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 20:49:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 20:50:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 20:51:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 20:52:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 20:53:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 20:54:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 20:55:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 20:56:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 20:57:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 20:58:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 20:59:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:00:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:01:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:02:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:03:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:04:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:05:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
