Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH,
2017-11-07 20:52:00,0,0,0,0,73,0,0,73,0,0,73,47.80548929,91.91772319,0.231939751,
2017-11-07 20:53:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 20:54:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 20:55:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 20:56:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 20:57:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 20:58:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 20:59:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:00:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:01:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:02:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:03:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:04:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:05:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:06:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:07:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:08:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:09:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:10:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:11:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:12:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:13:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:14:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:15:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:16:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:17:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:18:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:19:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:20:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:21:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:22:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:23:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:24:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:25:00,0,0,0,0,73,0,0,73,0,0,73,52.66830904,95.07359038,0.239903079,
2017-11-07 21:26:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:27:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:28:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
