Time,BA1_CFM,LAU_CFM,RHD_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-11-13 02:25:00,54,0,0,54,0,0,54,27.0490264413076,63.0272500922931,0.700302778803256
2017-11-13 02:26:00,54,0,0,54,0,0,54,27.0490264413076,63.0272500922931,0.700302778803256
2017-11-13 02:27:00,54,0,0,54,0,0,54,27.0490264413076,63.0272500922931,0.700302778803256
2017-11-13 02:28:00,54,0,0,54,0,0,54,27.0490264413076,63.0272500922931,0.700302778803256
2017-11-13 02:29:00,54,0,0,54,0,0,54,27.0490264413076,63.0272500922931,0.700302778803256
2017-11-13 02:30:00,54,0,0,54,0,0,54,27.0490264413076,63.0272500922931,0.700302778803256
2017-11-13 02:31:00,54,0,0,54,0,0,54,27.0490264413076,63.0272500922931,0.700302778803256
2017-11-13 02:32:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:33:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:34:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:35:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:36:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:37:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:38:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:39:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:40:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:41:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:42:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:43:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:44:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:45:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:46:00,54,0,0,54,0,0,54,26.8870488337129,62.9373194523715,0.699303549470794
2017-11-13 02:47:00,54,0,0,54,0,0,54,27.7848900092083,63.4393978244255,0.704882198049173
2017-11-13 02:48:00,54,0,0,54,0,0,54,27.6261811770652,63.3500133832363,0.703889037591515
2017-11-13 02:49:00,54,0,0,54,0,0,54,27.6261811770652,63.3500133832363,0.703889037591515
2017-11-13 02:50:00,54,0,0,54,0,0,54,27.6261811770652,63.3500133832363,0.703889037591515
2017-11-13 02:51:00,54,0,0,54,0,0,54,27.6261811770652,63.3500133832363,0.703889037591515
2017-11-13 02:52:00,54,0,0,54,0,0,54,27.6261811770652,63.3500133832363,0.703889037591515
2017-11-13 02:53:00,54,0,0,54,0,0,54,27.6261811770652,63.3500133832363,0.703889037591515
2017-11-13 02:54:00,54,0,0,54,0,0,54,27.6261811770652,63.3500133832363,0.703889037591515
2017-11-13 02:55:00,54,0,0,54,0,0,54,27.6261811770652,63.3500133832363,0.703889037591515
2017-11-13 02:56:00,54,0,0,54,0,0,54,27.6261811770652,63.3500133832363,0.703889037591515
2017-11-13 02:57:00,54,0,0,54,0,0,54,27.6261811770652,63.3500133832363,0.703889037591515
2017-11-13 02:58:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
2017-11-13 02:59:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
2017-11-13 03:00:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
2017-11-13 03:01:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
2017-11-13 03:02:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
2017-11-13 03:03:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
2017-11-13 03:04:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
2017-11-13 03:05:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
