Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,BA4_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-07-12 20:50:00,94,0,94,0,0,0,0,188,0,0,188,52.0597751867706,199.289772267713,0.320659327864382
2017-07-12 20:51:00,94,0,94,0,0,0,0,188,0,0,188,52.0597751867706,199.289772267713,0.320659327864382
2017-07-12 20:52:00,94,0,94,0,0,0,0,188,0,0,188,52.0597751867706,199.289772267713,0.320659327864382
2017-07-12 20:53:00,0,0,94,0,0,0,0,94,0,0,94,52.0597751867706,112.555555005007,0.18110306517298
2017-07-12 20:54:00,0,0,94,0,0,0,0,94,0,0,94,51.7667703163092,112.384152322003,0.1808272764634
2017-07-12 20:55:00,0,0,94,0,0,0,0,94,0,0,94,51.7667703163092,112.384152322003,0.1808272764634
2017-07-12 20:56:00,0,0,94,0,0,0,0,94,0,0,94,35.9358544702071,103.938639660079,0.167238358262396
2017-07-12 20:57:00,0,0,94,0,0,0,0,94,0,0,94,35.9358544702071,103.938639660079,0.167238358262396
2017-07-12 20:58:00,0,0,94,0,0,0,0,94,0,0,94,35.9358544702071,103.938639660079,0.167238358262396
2017-07-12 20:59:00,0,0,94,0,0,0,0,94,0,0,94,35.9358544702071,103.938639660079,0.167238358262396
2017-07-12 21:00:00,0,0,94,0,0,0,0,94,0,0,94,35.9358544702071,103.938639660079,0.167238358262396
2017-07-12 21:01:00,0,0,94,0,0,0,0,94,0,0,94,36.272082472345,104.099354688368,0.167496950423763
2017-07-12 21:02:00,0,0,94,0,0,0,0,94,0,0,94,36.272082472345,104.099354688368,0.167496950423763
2017-07-12 21:03:00,0,0,94,0,0,0,0,94,0,0,94,36.272082472345,104.099354688368,0.167496950423763
2017-07-12 21:04:00,0,0,94,0,0,0,0,94,0,0,94,36.6128375270387,104.263155576142,0.167760507765313
2017-07-12 21:05:00,0,0,94,0,0,0,0,94,0,0,94,36.6128375270387,104.263155576142,0.167760507765313
2017-07-12 21:06:00,0,0,94,0,0,0,0,94,0,0,94,36.6128375270387,104.263155576142,0.167760507765313
2017-07-12 21:07:00,0,0,94,0,0,0,0,94,0,0,94,36.9574634862269,104.429753837432,0.168028566110107
2017-07-12 21:08:00,94,0,94,0,0,0,0,188,0,0,188,36.6128375270387,193.968046557535,0.312096615539074
2017-07-12 21:09:00,94,0,94,0,0,0,0,188,0,0,188,36.6128375270387,193.968046557535,0.312096615539074
2017-07-12 21:10:00,94,0,94,0,0,0,0,188,0,0,188,36.6128375270387,193.968046557535,0.312096615539074
2017-07-12 21:11:00,94,0,94,0,0,0,0,188,0,0,188,36.6128375270387,193.968046557535,0.312096615539074
2017-07-12 21:12:00,94,0,94,0,0,0,0,188,0,0,188,36.6128375270387,193.968046557535,0.312096615539074
2017-07-12 21:13:00,94,0,94,0,0,0,0,188,0,0,188,36.6128375270387,193.968046557535,0.312096615539074
2017-07-12 21:14:00,94,0,94,0,0,0,0,188,0,0,188,36.6128375270387,193.968046557535,0.312096615539074
2017-07-12 21:15:00,0,0,94,0,0,0,0,94,0,0,94,36.6128375270387,104.263155576142,0.167760507765313
2017-07-12 21:16:00,0,0,94,0,0,0,0,94,0,0,94,36.6128375270387,104.263155576142,0.167760507765313
2017-07-12 21:17:00,0,0,94,0,0,0,0,94,0,0,94,36.272082472345,104.099354688368,0.167496950423763
2017-07-12 21:18:00,0,0,94,0,0,0,0,94,0,0,94,36.272082472345,104.099354688368,0.167496950423763
2017-07-12 21:19:00,0,0,94,0,0,0,0,94,0,0,94,36.272082472345,104.099354688368,0.167496950423763
2017-07-12 21:20:00,0,0,94,0,0,0,0,94,0,0,94,36.272082472345,104.099354688368,0.167496950423763
2017-07-12 21:21:00,0,0,94,0,0,0,0,94,0,0,94,36.6128375270387,104.263155576142,0.167760507765313
2017-07-12 21:22:00,0,0,94,0,0,0,0,94,0,0,94,36.6128375270387,104.263155576142,0.167760507765313
2017-07-12 21:23:00,0,0,94,0,0,0,0,94,0,0,94,36.6128375270387,104.263155576142,0.167760507765313
2017-07-12 21:24:00,0,0,94,0,0,0,0,94,0,0,94,36.9574634862269,104.429753837432,0.168028566110107
2017-07-12 21:25:00,0,0,94,0,0,0,0,94,0,0,94,36.9574634862269,104.429753837432,0.168028566110107
2017-07-12 21:26:00,0,0,94,0,0,0,0,94,0,0,94,36.9574634862269,104.429753837432,0.168028566110107
2017-07-12 21:27:00,0,0,94,0,0,0,0,94,0,0,94,36.9574634862269,104.429753837432,0.168028566110107
2017-07-12 21:28:00,0,0,94,0,0,0,0,94,0,0,94,36.9574634862269,104.429753837432,0.168028566110107
2017-07-12 21:29:00,0,0,94,0,0,0,0,94,0,0,94,36.9574634862269,104.429753837432,0.168028566110107
2017-07-12 21:30:00,94,0,94,0,0,0,0,188,0,0,188,36.9574634862269,194.071610544362,0.31226325107701
2017-07-12 21:31:00,94,0,94,0,0,0,0,188,0,0,188,36.9574634862269,194.071610544362,0.31226325107701
2017-07-12 21:32:00,94,0,94,0,0,0,0,188,0,0,188,36.9574634862269,194.071610544362,0.31226325107701
2017-07-12 21:33:00,94,0,94,0,0,0,0,188,0,0,188,36.9574634862269,194.071610544362,0.31226325107701
2017-07-12 21:34:00,94,0,94,0,0,0,0,188,0,0,188,36.9574634862269,194.071610544362,0.31226325107701
2017-07-12 21:35:00,94,0,94,0,0,0,0,188,0,0,188,36.6128375270387,193.968046557535,0.312096615539074
2017-07-12 21:36:00,94,0,94,0,0,0,0,188,0,0,188,36.6128375270387,193.968046557535,0.312096615539074
2017-07-12 21:37:00,0,0,94,0,0,0,0,94,0,0,94,36.6128375270387,104.263155576142,0.167760507765313
2017-07-12 21:38:00,0,0,94,0,0,0,0,94,0,0,94,36.6128375270387,104.263155576142,0.167760507765313
2017-07-12 21:39:00,0,0,94,0,0,0,0,94,0,0,94,36.6128375270387,104.263155576142,0.167760507765313
2017-07-12 21:40:00,0,0,94,0,0,0,0,94,0,0,94,36.6128375270387,104.263155576142,0.167760507765313
2017-07-12 21:41:00,0,0,94,0,0,0,0,94,0,0,94,36.6128375270387,104.263155576142,0.167760507765313
2017-07-12 21:42:00,0,0,94,0,0,0,0,94,0,0,94,36.6128375270387,104.263155576142,0.167760507765313
2017-07-12 21:43:00,0,0,94,0,0,0,0,94,0,0,94,36.9574634862269,104.429753837432,0.168028566110107
2017-07-12 21:44:00,0,0,94,0,0,0,0,94,0,0,94,36.9574634862269,104.429753837432,0.168028566110107
2017-07-12 21:45:00,0,0,94,0,0,0,0,94,0,0,94,36.9574634862269,104.429753837432,0.168028566110107
2017-07-12 21:46:00,0,0,94,0,0,0,0,94,0,0,94,36.9574634862269,104.429753837432,0.168028566110107
2017-07-12 21:47:00,0,0,94,0,0,0,0,94,0,0,94,37.305405119392,104.598902991515,0.168300728868085
