Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,BA4_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-06-28 02:31:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:32:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:33:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:34:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:35:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:36:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:37:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:38:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:39:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:40:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:41:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:42:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:43:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:44:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:45:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:46:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:47:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:48:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:49:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:50:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:51:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:52:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:53:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 02:54:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 02:55:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 02:56:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 02:57:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 02:58:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 02:59:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:00:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:01:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:02:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:03:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:04:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:05:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:06:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:07:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:08:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:09:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:10:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:11:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
