Time,BA1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,TO1_CFM,BA5_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-03-23 20:00:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 20:01:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 20:02:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 20:03:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 20:04:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 20:05:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 20:06:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:07:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 20:08:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:09:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 20:10:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:11:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:12:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:13:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:14:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:15:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:16:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:17:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:18:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
